Time;Z21;Z22;Z23;Z24;Z25;Z26;Z27;
08.00.00;1;0;2;0;0;2;2;00.15
08.15.00;3;0;4;0;0;2;2;
08.30.00;6;3;6;0;1;3;5;
08.45.00;11;3;10;2;1;7;8;
09.00.00;15;4;13;3;1;7;8;
09.15.00;19;5;12;5;2;8;10;
09.30.00;18;9;12;6;4;8;10;
09.45.00;20;9;16;10;5;12;12;
10.00.00;27;6;16;12;7;15;16;
10.15.00;30;5;14;12;12;20;16;
10.30.00;32;7;18;13;13;22;15;
10.45.00;33;6;18;13;12;25;16;
11.00.00;32;5;20;12;13;25;18;
11.15.00;31;4;21;10;18;29;17;
11.30.00;33;6;19;13;17;33;16;
11.45.00;35;8;12;13;14;33;16;
12.00.00;24;4;16;15;16;31;18;
12.15.00;22;6;15;11;17;28;8;
12.30.00;26;2;9;15;17;20;11;
12.45.00;27;1;15;13;16;15;10;
13.00.00;26;3;15;10;12;20;10;
13.15.00;32;4;17;11;14;27;9;
13.30.00;32;6;19;11;16;29;12;
13.45.00;26;9;20;14;17;31;15;
14.00.00;32;6;17;16;17;29;15;
14.15.00;34;7;20;17;15;26;16;
14.30.00;32;7;17;12;17;21;13;
14.45.00;36;5;12;13;13;16;10;
15.00.00;29;8;16;13;16;17;11;
15.15.00;29;6;15;10;12;19;13;
15.30.00;28;3;12;8;15;16;15;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
