Time;Z21;Z22;Z23;Z24;Z25;Z26;Z27;
11.00.00;30;7;14;16;12;21;17;00.15
11.15.00;33;5;20;17;12;20;13;
11.30.00;38;3;19;11;7;25;11;
11.45.00;34;5;19;14;9;24;11;
12.00.00;34;5;14;17;7;23;13;
12.15.00;24;5;11;13;9;25;16;
12.30.00;27;5;10;17;6;19;16;
12.45.00;29;5;12;14;10;14;13;
13.00.00;26;5;13;14;17;17;14;
13.15.00;33;8;16;14;16;29;13;
13.30.00;34;8;16;16;16;27;13;
13.45.00;33;5;17;17;16;36;19;
14.00.00;33;9;16;15;16;29;17;
14.15.00;29;9;15;17;16;31;17;
14.30.00;32;9;15;16;15;29;17;
14.45.00;35;8;17;14;16;33;15;
15.00.00;34;6;16;17;17;27;17;
15.15.00;30;5;16;15;15;33;15;
15.30.00;29;6;14;17;14;32;15;
15.45.00;33;7;16;15;16;33;15;
