,Time,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Unnamed: 8
0,2022.11.30.07.00.00,1,0,0,0,0,0,1,0.15
1,2022.11.30.07.15.00,2,0,0,0,0,0,1,
2,2022.11.30.07.30.00,2,0,0,0,0,0,1,
3,2022.11.30.07.45.00,3,0,0,0,0,0,1,
4,2022.11.30.08.00.00,5,3,0,0,0,0,4,
5,2022.11.30.08.15.00,6,4,0,0,0,0,6,
6,2022.11.30.08.30.00,5,2,1,0,2,0,10,
7,2022.11.30.08.45.00,10,4,4,1,2,2,9,
8,2022.11.30.09.00.00,15,5,8,2,2,4,9,
9,2022.11.30.09.15.00,19,6,10,6,4,7,10,
10,2022.11.30.09.30.00,22,4,10,10,8,6,12,
11,2022.11.30.09.45.00,28,4,16,11,9,10,12,
12,2022.11.30.10.00.00,41,5,16,16,14,10,10,
13,2022.11.30.10.15.00,36,7,15,22,16,17,15,
14,2022.11.30.10.30.00,36,6,16,23,17,20,13,
15,2022.11.30.10.45.00,36,7,18,19,17,24,16,
16,2022.11.30.11.00.00,38,7,19,22,18,24,14,
17,2022.11.30.11.15.00,34,7,19,23,17,28,14,
18,2022.11.30.11.30.00,35,6,18,27,16,28,12,
19,2022.11.30.11.45.00,37,5,15,26,12,27,14,
20,2022.11.30.12.00.00,37,9,17,27,14,24,15,
21,2022.11.30.12.15.00,28,8,14,17,12,24,11,
22,2022.11.30.12.30.00,19,6,13,14,12,25,11,
23,2022.11.30.12.45.00,22,6,16,16,13,25,15,
24,2022.11.30.13.00.00,18,6,20,15,11,27,13,
25,2022.11.30.13.15.00,28,4,23,22,14,28,16,
26,2022.11.30.13.30.00,31,4,19,16,14,29,13,
27,2022.11.30.13.45.00,36,9,22,16,11,25,16,
28,2022.11.30.14.00.00,31,8,25,18,14,34,15,
29,2022.11.30.14.15.00,34,7,24,19,17,33,18,
30,2022.11.30.14.30.00,36,7,25,16,17,28,19,
31,2022.11.30.14.45.00,37,7,23,15,17,30,19,
32,2022.11.30.15.00.00,38,8,19,9,19,27,15,
33,2022.11.30.15.15.00,35,6,19,12,16,26,15,
34,2022.11.30.15.30.00,35,7,17,11,18,26,13,
35,2022.11.30.15.45.00,33,9,19,12,17,21,12,
36,2022.11.30.16.00.00,40,8,19,10,20,30,13,
