telemetry.time,deviceId,telemetry.co2
2022-12-14T20:41:14.0000000,DA00130002,487
2022-12-14T20:39:18.0000000,DA00130001,441
2022-12-14T20:38:13.0000000,DA00130001,431
2022-12-14T20:40:09.0000000,DA00130002,482
2022-12-14T20:38:50.0000000,DA00130002,484
2022-12-14T20:35:08.0000000,DA00130002,482
2022-12-14T20:37:45.0000000,DA00130002,482
2022-12-14T20:36:27.0000000,DA00130002,475
2022-12-14T20:34:02.0000000,DA00130002,505
2022-12-14T20:36:58.0000000,DA00130001,447
2022-12-14T20:34:38.0000000,DA00130001,443
2022-12-14T20:35:53.0000000,DA00130001,431
2022-12-14T20:33:33.0000000,DA00130001,446
2022-12-14T20:31:04.0000000,DA00130001,447
2022-12-14T20:32:19.0000000,DA00130001,438
2022-12-14T20:28:00.0000000,DA00110034,609
2022-12-14T20:29:05.0000000,DA00110034,615
2022-12-14T20:26:59.0000000,DA00100001,500
2022-12-14T20:29:49.0000000,AMNO-03,591
2022-12-14T20:29:38.0000000,DA00110044,564
2022-12-14T20:26:43.0000000,DA00110034,588
2022-12-14T20:29:29.0000000,DA00110047,573
2022-12-14T20:28:10.0000000,DA00110047,563
2022-12-14T20:24:19.0000000,DA00110034,629
2022-12-14T20:25:24.0000000,DA00110034,600
2022-12-14T20:23:02.0000000,DA00110034,629
2022-12-14T20:29:29.0000000,DA00110045,590
2022-12-14T20:29:12.0000000,DA00110043,524
2022-12-14T20:21:57.0000000,DA00110034,621
2022-12-14T20:20:42.0000000,DA00110034,612
2022-12-14T20:19:24.0000000,DA00110034,632
2022-12-14T20:28:38.0000000,AMNO-03,597
2022-12-14T20:26:14.0000000,AMNO-03,611
2022-12-14T20:27:26.0000000,AMNO-03,599
2022-12-14T20:25:02.0000000,AMNO-03,602
2022-12-14T20:25:42.0000000,DA00110042,621
2022-12-14T20:22:39.0000000,AMNO-03,599
2022-12-14T20:21:28.0000000,AMNO-03,609
2022-12-14T20:23:51.0000000,AMNO-03,607
2022-12-14T20:29:33.0000000,AMNO-01,598
2022-12-14T20:19:05.0000000,AMNO-03,615
2022-12-14T20:17:53.0000000,AMNO-03,621
2022-12-14T20:20:16.0000000,AMNO-03,602
2022-12-14T20:15:29.0000000,AMNO-03,623
2022-12-14T20:16:41.0000000,AMNO-03,604
2022-12-14T20:27:14.0000000,AMNO-01,592
2022-12-14T20:21:23.0000000,AMNO-01,605
2022-12-14T20:24:53.0000000,AMNO-01,598
2022-12-14T20:23:42.0000000,AMNO-01,601
2022-12-14T20:26:03.0000000,AMNO-01,593
2022-12-14T20:17:51.0000000,AMNO-01,615
2022-12-14T20:20:12.0000000,AMNO-01,596
2022-12-14T20:19:02.0000000,AMNO-01,598
2022-12-14T20:15:32.0000000,AMNO-01,608
2022-12-14T20:27:04.0000000,DA00110047,612
2022-12-14T20:27:08.0000000,DA00110045,596
2022-12-14T20:28:24.0000000,DA00110045,607
2022-12-14T20:26:02.0000000,DA00110045,589
2022-12-14T20:22:24.0000000,DA00110045,586
2022-12-14T20:23:29.0000000,DA00110045,587
2022-12-14T20:24:46.0000000,DA00110045,594
2022-12-14T20:20:01.0000000,DA00110045,584
2022-12-14T20:21:07.0000000,DA00110045,586
2022-12-14T20:18:46.0000000,DA00110045,586
2022-12-14T20:17:30.0000000,DA00110045,592
2022-12-14T20:16:24.0000000,DA00110045,605
2022-12-14T20:28:19.0000000,DA00110044,590
2022-12-14T20:15:08.0000000,DA00110045,583
2022-12-14T20:27:14.0000000,DA00110044,575
2022-12-14T20:25:59.0000000,DA00110044,571
2022-12-14T20:24:53.0000000,DA00110044,581
2022-12-14T20:22:21.0000000,DA00110044,586
2022-12-14T20:23:39.0000000,DA00110044,574
2022-12-14T20:21:15.0000000,DA00110044,576
2022-12-14T20:18:54.0000000,DA00110044,584
2022-12-14T20:20:00.0000000,DA00110044,599
2022-12-14T20:17:39.0000000,DA00110044,582
2022-12-14T20:16:21.0000000,DA00110044,593
2022-12-14T20:15:15.0000000,DA00110044,589
2022-12-14T20:28:07.0000000,DA00110043,547
2022-12-14T20:26:49.0000000,DA00110043,515
2022-12-14T20:20:52.0000000,DA00110043,521
2022-12-14T20:19:46.0000000,DA00110043,541
2022-12-14T20:18:29.0000000,DA00110043,531
2022-12-14T20:17:12.0000000,DA00110043,542
2022-12-14T20:16:06.0000000,DA00110043,550
2022-12-14T20:24:37.0000000,DA00110042,626
2022-12-14T20:23:18.0000000,DA00110042,616
2022-12-14T20:20:54.0000000,DA00110042,609
2022-12-14T20:22:00.0000000,DA00110042,621
2022-12-14T20:19:36.0000000,DA00110042,621
2022-12-14T20:18:31.0000000,DA00110042,630
2022-12-14T20:17:12.0000000,DA00110042,618
2022-12-14T20:25:50.0000000,DA00110040,644
2022-12-14T20:27:05.0000000,DA00110040,668
2022-12-14T20:28:19.0000000,DA00110040,645
2022-12-14T20:24:45.0000000,DA00110040,651
2022-12-14T20:22:25.0000000,DA00110040,644
2022-12-14T20:23:31.0000000,DA00110040,638
2022-12-14T20:20:05.0000000,DA00110040,655
