telemetry.time,deviceId,telemetry.co2
2022-11-24T15:31:23.0000000,DA00110031,752
2022-11-24T15:37:22.0000000,DA00110031,744
2022-11-24T15:43:21.0000000,DA00110031,750
2022-11-24T15:30:16.0000000,DA00110031,739
2022-11-24T15:43:45.0000000,DA00130004,1060
2022-11-24T15:41:23.0000000,DA00130004,1074
2022-11-24T15:42:30.0000000,DA00130004,1047
2022-11-24T15:39:15.0000000,DA00130004,1027
2022-11-24T15:37:57.0000000,DA00130004,1030
2022-11-24T15:32:00.0000000,DA00130004,1021
2022-11-24T15:43:49.0000000,DA00130003,1144
2022-11-24T15:42:33.0000000,DA00130003,1118
2022-11-24T15:43:58.0000000,DA00130002,722
2022-11-24T15:41:13.0000000,DA00130003,1125
2022-11-24T15:35:13.0000000,DA00130003,1122
2022-11-24T15:34:03.0000000,DA00130003,1099
2022-11-24T15:38:03.0000000,DA00130002,734
2022-11-24T15:41:37.0000000,DA00130002,748
2022-11-24T15:40:32.0000000,DA00130002,736
2022-11-24T15:42:51.0000000,DA00130002,726
2022-11-24T15:39:17.0000000,DA00130002,739
2022-11-24T15:36:56.0000000,DA00130002,720
2022-11-24T15:35:43.0000000,DA00130002,710
2022-11-24T15:34:36.0000000,DA00130002,734
2022-11-24T15:33:23.0000000,DA00130002,715
2022-11-24T15:35:44.0000000,DA00130001,704
2022-11-24T15:28:19.0000000,AMNO-04,981
2022-11-24T15:28:08.0000000,AMNO-03,1131
2022-11-24T15:29:26.0000000,AMNO-03,1104
2022-11-24T15:26:54.0000000,AMNO-03,1126
2022-11-24T15:25:36.0000000,AMNO-03,1118
2022-11-24T15:22:57.0000000,AMNO-03,1081
2022-11-24T15:21:46.0000000,AMNO-03,1067
2022-11-24T15:18:16.0000000,AMNO-03,1098
2022-11-24T15:20:35.0000000,AMNO-03,1093
2022-11-24T15:17:03.0000000,AMNO-03,1139
2022-11-24T15:15:51.0000000,AMNO-03,1127
2022-11-24T15:28:59.0000000,AMNO-02,1013
2022-11-24T15:27:46.0000000,AMNO-02,1021
2022-11-24T15:25:23.0000000,AMNO-02,1054
2022-11-24T15:24:10.0000000,AMNO-02,1053
2022-11-24T15:26:34.0000000,AMNO-02,1043
2022-11-24T15:21:46.0000000,AMNO-02,1072
2022-11-24T15:22:58.0000000,AMNO-02,1061
2022-11-24T15:20:33.0000000,AMNO-02,1058
2022-11-24T15:28:06.0000000,AMNO-01,1076
2022-11-24T15:26:22.0000000,DA00110044,811
2022-11-24T15:28:45.0000000,DA00110044,808
2022-11-24T15:27:28.0000000,DA00110044,793
2022-11-24T15:18:07.0000000,AMNO-02,1048
2022-11-24T15:19:20.0000000,AMNO-02,1046
2022-11-24T15:16:56.0000000,AMNO-02,1043
2022-11-24T15:21:31.0000000,DA00110047,746
2022-11-24T15:15:42.0000000,AMNO-02,1057
2022-11-24T15:25:42.0000000,AMNO-01,1082
2022-11-24T15:26:54.0000000,AMNO-01,1067
2022-11-24T15:23:19.0000000,AMNO-01,1055
2022-11-24T15:24:30.0000000,AMNO-01,1076
2022-11-24T15:19:43.0000000,AMNO-01,1039
2022-11-24T15:20:55.0000000,AMNO-01,1030
2022-11-24T15:18:32.0000000,AMNO-01,1043
2022-11-24T15:22:07.0000000,AMNO-01,1051
2022-11-24T15:17:20.0000000,AMNO-01,1045
2022-11-24T15:16:08.0000000,AMNO-01,1050
2022-11-24T15:25:38.0000000,AMNO-04,954
2022-11-24T15:26:58.0000000,AMNO-04,982
2022-11-24T15:23:12.0000000,AMNO-04,968
2022-11-24T15:21:58.0000000,AMNO-04,993
2022-11-24T15:24:24.0000000,AMNO-04,984
2022-11-24T15:20:43.0000000,AMNO-04,1021
2022-11-24T15:18:19.0000000,AMNO-04,1058
2022-11-24T15:15:54.0000000,AMNO-04,1033
2022-11-24T15:19:30.0000000,AMNO-04,1031
2022-11-24T15:17:05.0000000,AMNO-04,1030
2022-11-24T15:27:13.0000000,DA00110045,834
2022-11-24T15:28:28.0000000,DA00110045,827
2022-11-24T15:24:54.0000000,DA00110045,830
2022-11-24T15:26:08.0000000,DA00110045,811
2022-11-24T15:23:47.0000000,DA00110045,868
2022-11-24T15:21:17.0000000,DA00110045,830
2022-11-24T15:20:12.0000000,DA00110045,715
2022-11-24T15:22:33.0000000,DA00110045,865
2022-11-24T15:17:51.0000000,DA00110045,768
2022-11-24T15:16:38.0000000,DA00110045,759
2022-11-24T15:18:58.0000000,DA00110045,763
2022-11-24T15:15:22.0000000,DA00110045,826
2022-11-24T15:25:05.0000000,DA00110044,847
2022-11-24T15:22:43.0000000,DA00110044,801
2022-11-24T15:21:27.0000000,DA00110044,771
2022-11-24T15:23:49.0000000,DA00110044,843
2022-11-24T15:26:40.0000000,DA00110040,1152
2022-11-24T15:27:47.0000000,DA00110040,1147
2022-11-24T15:25:16.0000000,DA00110033,948
2022-11-24T15:26:22.0000000,DA00110033,946
2022-11-24T15:27:42.0000000,DA00110033,983
2022-11-24T15:28:58.0000000,DA00110036,1131
2022-11-24T15:20:20.0000000,DA00110044,830
2022-11-24T15:19:04.0000000,DA00110044,815
2022-11-24T15:28:36.0000000,DA00110043,766
2022-11-24T15:28:40.0000000,DA00110042,1420
2022-11-24T15:16:43.0000000,DA00110044,810
2022-11-24T15:15:26.0000000,DA00110044,797
2022-11-24T15:17:49.0000000,DA00110044,827
2022-11-24T15:26:12.0000000,DA00110043,799
2022-11-24T15:27:17.0000000,DA00110043,781
2022-11-24T15:24:54.0000000,DA00110043,790
2022-11-24T15:23:48.0000000,DA00110043,747
2022-11-24T15:22:30.0000000,DA00110043,757
2022-11-24T15:24:32.0000000,DA00110041,815
2022-11-24T15:15:11.0000000,DA00110043,736
2022-11-24T15:16:30.0000000,DA00110043,731
2022-11-24T15:27:35.0000000,DA00110042,1430
2022-11-24T15:26:19.0000000,DA00110042,1435
2022-11-24T15:25:05.0000000,DA00110042,1420
2022-11-24T15:22:44.0000000,DA00110042,1417
2022-11-24T15:23:59.0000000,DA00110042,1419
2022-11-24T15:21:39.0000000,DA00110042,1404
2022-11-24T15:21:22.0000000,DA00110037,931
2022-11-24T15:20:24.0000000,DA00110042,1421
2022-11-24T15:16:50.0000000,DA00110042,1419
2022-11-24T15:19:10.0000000,DA00110042,1417
2022-11-24T15:15:45.0000000,DA00110042,1437
2022-11-24T15:18:05.0000000,DA00110042,1436
2022-11-24T15:22:09.0000000,DA00110041,797
2022-11-24T15:23:14.0000000,DA00110041,814
2022-11-24T15:28:45.0000000,DA00110038,1099
2022-11-24T15:20:50.0000000,DA00110041,815
2022-11-24T15:19:45.0000000,DA00110041,814
2022-11-24T15:17:09.0000000,DA00110041,823
2022-11-24T15:18:27.0000000,DA00110041,802
2022-11-24T15:16:04.0000000,DA00110041,811
2022-11-24T15:28:35.0000000,DA00130001,714
2022-11-24T15:17:03.0000000,DA00110040,1161
2022-11-24T15:22:59.0000000,DA00110040,1141
2022-11-24T15:24:17.0000000,DA00110040,1135
2022-11-24T15:15:44.0000000,DA00110040,1137
2022-11-24T15:25:22.0000000,DA00110040,1167
2022-11-24T15:26:26.0000000,DA00110038,1103
2022-11-24T15:20:31.0000000,DA00110038,1132
2022-11-24T15:21:45.0000000,DA00110038,1140
2022-11-24T15:25:20.0000000,DA00110038,1099
2022-11-24T15:19:25.0000000,DA00110038,1118
2022-11-24T15:22:50.0000000,DA00110038,1130
2022-11-24T15:27:40.0000000,DA00110038,1118
2022-11-24T15:18:11.0000000,DA00110038,1112
2022-11-24T15:16:57.0000000,DA00110038,1109
2022-11-24T15:24:05.0000000,DA00110038,1120
2022-11-24T15:15:50.0000000,DA00110038,1078
2022-11-24T15:23:40.0000000,DA00110049,792
2022-11-24T15:24:57.0000000,DA00110049,798
2022-11-24T15:22:34.0000000,DA00110049,757
2022-11-24T15:21:16.0000000,DA00110049,811
2022-11-24T15:20:09.0000000,DA00110049,832
2022-11-24T15:24:02.0000000,DA00110033,981
