telemetry.time,deviceId,telemetry.co2
2022-11-24T10:17:14.0000000,DA00130001,633
2022-11-24T10:28:02.0000000,DA00130002,629
2022-11-24T10:26:48.0000000,DA00130002,612
2022-11-24T10:19:40.0000000,DA00130002,606
2022-11-24T10:20:55.0000000,DA00130002,612
2022-11-24T10:18:34.0000000,DA00130002,597
2022-11-24T10:17:20.0000000,DA00130002,608
2022-11-24T10:14:36.0000000,DA00110034,1046
2022-11-24T10:13:30.0000000,DA00110034,1064
2022-11-24T10:14:24.0000000,AMNO-03,865
2022-11-24T10:14:13.0000000,AMNO-02,818
2022-11-24T10:12:16.0000000,DA00110034,1035
2022-11-24T10:11:02.0000000,DA00110034,1040
2022-11-24T10:09:56.0000000,DA00110034,1033
2022-11-24T10:07:36.0000000,DA00110034,1039
2022-11-24T10:08:42.0000000,DA00110034,1026
2022-11-24T10:06:22.0000000,DA00110034,1040
2022-11-24T10:05:06.0000000,DA00110034,1057
2022-11-24T10:13:11.0000000,AMNO-03,861
2022-11-24T10:11:59.0000000,AMNO-03,854
2022-11-24T10:10:49.0000000,AMNO-03,852
2022-11-24T10:09:37.0000000,AMNO-03,847
2022-11-24T10:04:50.0000000,AMNO-03,818
2022-11-24T10:06:02.0000000,AMNO-03,811
2022-11-24T10:07:14.0000000,AMNO-03,825
2022-11-24T10:08:25.0000000,AMNO-03,828
2022-11-24T10:03:39.0000000,AMNO-03,805
2022-11-24T10:02:27.0000000,AMNO-03,804
2022-11-24T10:12:59.0000000,AMNO-02,823
2022-11-24T10:00:03.0000000,AMNO-03,813
2022-11-24T10:01:15.0000000,AMNO-03,804
2022-11-24T10:11:47.0000000,AMNO-02,813
2022-11-24T10:10:35.0000000,AMNO-02,804
2022-11-24T10:14:19.0000000,AMNO-04,790
2022-11-24T10:09:22.0000000,AMNO-02,817
2022-11-24T10:08:11.0000000,AMNO-02,811
2022-11-24T10:06:59.0000000,AMNO-02,803
2022-11-24T10:05:47.0000000,AMNO-02,795
2022-11-24T10:03:23.0000000,AMNO-02,761
2022-11-24T10:04:34.0000000,AMNO-02,781
2022-11-24T10:02:11.0000000,AMNO-02,759
2022-11-24T10:01:00.0000000,AMNO-02,774
2022-11-24T10:13:03.0000000,AMNO-01,901
2022-11-24T10:14:15.0000000,AMNO-01,920
2022-11-24T10:11:51.0000000,AMNO-01,899
2022-11-24T10:10:40.0000000,AMNO-01,910
2022-11-24T10:07:04.0000000,AMNO-01,877
2022-11-24T10:09:28.0000000,AMNO-01,893
2022-11-24T10:08:16.0000000,AMNO-01,891
2022-11-24T10:13:30.0000000,DA00100001,944
2022-11-24T10:05:52.0000000,AMNO-01,920
2022-11-24T10:03:29.0000000,AMNO-01,890
2022-11-24T10:04:41.0000000,AMNO-01,907
2022-11-24T10:02:15.0000000,AMNO-01,892
2022-11-24T10:01:03.0000000,AMNO-01,880
2022-11-24T10:13:07.0000000,AMNO-04,787
2022-11-24T10:11:55.0000000,AMNO-04,794
