telemetry.time,deviceId,telemetry.co2,enqueuedTime
2022-09-29T07:12:18.0000000,DA00130001,483,2022-09-29T07:15:08.0000000
2022-09-29T07:13:33.0000000,DA00130001,492,2022-09-29T07:15:09.0000000
2022-09-29T07:03:21.0000000,DA00110031,490,2022-09-29T07:15:14.0000000
2022-09-29T07:13:51.0000000,DA00110031,515,2022-09-29T07:15:14.0000000
2022-09-29T07:01:01.0000000,DA00110031,487,2022-09-29T07:15:14.0000000
2022-09-29T07:01:46.0000000,DA00130001,476,2022-09-29T07:15:07.0000000
2022-09-29T07:06:54.0000000,DA00110031,498,2022-09-29T07:15:14.0000000
2022-09-29T07:05:40.0000000,DA00110031,511,2022-09-29T07:15:14.0000000
2022-09-29T07:04:35.0000000,DA00110031,511,2022-09-29T07:15:14.0000000
2022-09-29T07:07:59.0000000,DA00110031,501,2022-09-29T07:15:14.0000000
2022-09-29T07:02:06.0000000,DA00110031,467,2022-09-29T07:15:14.0000000
2022-09-29T07:11:04.0000000,DA00130001,494,2022-09-29T07:15:08.0000000
2022-09-29T07:07:39.0000000,DA00130001,531,2022-09-29T07:15:08.0000000
2022-09-29T07:06:24.0000000,DA00130001,490,2022-09-29T07:15:08.0000000
2022-09-29T07:04:06.0000000,DA00130001,508,2022-09-29T07:15:08.0000000
2022-09-29T07:05:11.0000000,DA00130001,502,2022-09-29T07:15:08.0000000
2022-09-29T07:09:59.0000000,DA00130001,492,2022-09-29T07:15:08.0000000
2022-09-29T07:00:31.0000000,DA00130001,482,2022-09-29T07:15:07.0000000
2022-09-29T07:08:44.0000000,DA00130001,535,2022-09-29T07:15:08.0000000
2022-09-29T07:02:51.0000000,DA00130001,489,2022-09-29T07:15:07.0000000
2022-09-29T07:07:19.0000000,DA00110039,486,2022-09-29T07:15:35.0000000
2022-09-29T07:03:43.0000000,DA00100001,447,2022-09-29T07:15:50.0000000
2022-09-29T07:14:27.0000000,DA00110037,515,2022-09-29T07:15:33.0000000
2022-09-29T07:13:11.0000000,DA00110037,505,2022-09-29T07:15:33.0000000
2022-09-29T07:08:25.0000000,DA00110037,500,2022-09-29T07:15:32.0000000
2022-09-29T07:03:40.0000000,DA00110037,479,2022-09-29T07:15:32.0000000
2022-09-29T07:01:04.0000000,DA00110037,487,2022-09-29T07:15:32.0000000
2022-09-29T07:04:45.0000000,DA00110037,488,2022-09-29T07:15:32.0000000
2022-09-29T07:07:09.0000000,DA00110037,497,2022-09-29T07:15:32.0000000
2022-09-29T07:09:44.0000000,DA00110037,505,2022-09-29T07:15:32.0000000
2022-09-29T07:12:06.0000000,DA00110037,509,2022-09-29T07:15:33.0000000
2022-09-29T07:06:04.0000000,DA00110037,492,2022-09-29T07:15:32.0000000
2022-09-29T07:02:21.0000000,DA00110037,475,2022-09-29T07:15:32.0000000
2022-09-29T07:10:49.0000000,DA00110037,517,2022-09-29T07:15:32.0000000
2022-09-29T07:12:49.0000000,DA00110043,473,2022-09-29T07:15:41.0000000
2022-09-29T07:14:04.0000000,DA00110043,469,2022-09-29T07:15:42.0000000
2022-09-29T07:02:16.0000000,DA00110043,528,2022-09-29T07:15:41.0000000
2022-09-29T07:01:02.0000000,DA00110043,495,2022-09-29T07:15:41.0000000
2022-09-29T07:10:30.0000000,DA00110043,482,2022-09-29T07:15:41.0000000
2022-09-29T07:04:36.0000000,DA00110043,486,2022-09-29T07:15:41.0000000
2022-09-29T07:03:21.0000000,DA00110043,508,2022-09-29T07:15:41.0000000
2022-09-29T07:06:55.0000000,DA00110043,524,2022-09-29T07:15:41.0000000
2022-09-29T07:05:50.0000000,DA00110043,538,2022-09-29T07:15:41.0000000
2022-09-29T07:08:10.0000000,DA00110043,463,2022-09-29T07:15:41.0000000
2022-09-29T07:09:15.0000000,DA00110043,471,2022-09-29T07:15:41.0000000
2022-09-29T07:11:44.0000000,DA00110043,462,2022-09-29T07:15:41.0000000
2022-09-29T07:05:43.0000000,DA00110036,461,2022-09-29T07:15:29.0000000
2022-09-29T07:13:01.0000000,DA00110036,488,2022-09-29T07:15:29.0000000
2022-09-29T07:09:24.0000000,DA00110036,487,2022-09-29T07:15:29.0000000
2022-09-29T07:10:41.0000000,DA00110036,491,2022-09-29T07:15:29.0000000
2022-09-29T07:07:01.0000000,DA00110036,464,2022-09-29T07:15:29.0000000
2022-09-29T07:14:18.0000000,DA00110036,493,2022-09-29T07:15:29.0000000
